date,close,eps,pe,pb,div-yield %
2025-01-31,15851.05,525.22,30.18,3.66,0.99
2024-12-31,17752.25,516.2,34.39,4.1,0.87
2024-11-29,17716.45,519.39,34.11,4.13,0.88
2024-10-31,17751.2,548.38,32.37,4.25,0.86
2024-09-30,18410.7,549.74,33.49,4.32,0.83
2024-08-30,18170.25,575.37,31.58,4.57,0.84
2024-07-31,17948.0,564.23,31.81,4.52,0.85
2024-06-28,17111.05,557.36,30.7,4.39,0.84
2024-05-31,15626.65,563.73,27.72,4.02,0.85
2024-04-30,15833.4,546.36,28.98,4.07,0.84
2024-03-28,14330.5,538.74,26.6,4.15,0.87
2024-02-29,14965.05,518.72,28.85,4.28,0.83
2024-01-31,15063.5,523.77,28.76,4.31,0.83
2023-12-29,14041.3,513.02,27.37,4.02,0.89
2023-11-30,13252.0,517.05,25.63,3.77,0.95
2023-10-31,12023.75,512.52,23.46,3.17,1.01
2023-09-29,12230.4,498.39,24.54,3.22,1.05
2023-08-31,11931.2,496.1,24.05,3.65,1.06
2023-07-31,11355.0,500.88,22.67,3.7,1.07
2023-06-30,10544.2,507.18,20.79,3.45,1.1
2023-05-31,9913.4,508.38,19.5,3.28,1.24
2023-04-28,9392.6,515.23,18.23,3.11,1.26
2023-03-31,8787.9,518.77,16.94,2.87,1.38
2023-02-28,8924.15,502.2,17.77,2.87,1.32
2023-01-31,9261.7,501.17,18.48,2.99,1.06
2022-12-30,9481.25,497.96,19.04,3.06,1.08
2022-11-30,9651.05,506.09,19.07,3.08,1.07
2022-10-31,9372.0,491.97,19.05,2.99,1.11
2022-09-30,9198.75,488.78,18.82,2.95,1.07
2022-08-30,9285.8,479.89,19.35,3.22,1.04
2022-07-29,8790.55,427.14,20.58,3.19,1.11
2022-06-30,8088.6,412.05,19.63,2.99,1.16
2022-05-31,8673.1,414.78,20.91,3.18,1.01
2022-04-29,9493.3,388.12,24.46,3.48,0.94
2022-03-31,9441.45,386.79,24.41,3.46,0.96
2022-02-28,8887.65,339.74,26.16,3.44,0.96
2022-01-31,9813.1,323.76,30.31,3.8,0.86
2021-12-31,9840.0,317.01,31.04,3.81,0.85
2021-11-30,9336.2,318.21,29.34,3.57,0.91
2021-10-29,9376.85,322.12,29.11,3.59,0.89
2021-09-30,9364.5,324.48,28.86,3.6,0.86
2021-08-31,8854.85,300.67,29.45,3.48,0.77
2021-07-30,9131.3,283.49,32.21,3.69,0.66
2021-06-30,8452.25,229.62,36.81,3.56,0.62
2021-05-31,8004.75,191.59,41.78,3.36,0.61
2021-04-30,7271.15,151.45,48.01,3.06,0.65
2021-03-31,6952.55,160.57,43.3,2.91,0.67
2021-02-26,6892.75,164.31,41.95,2.98,1.33
2021-01-29,6139.65,149.93,40.95,2.65,1.5
2020-12-31,6076.2,147.84,41.1,2.59,1.53
2020-11-27,5604.3,131.83,42.51,2.44,1.66
2020-10-30,4976.7,92.64,53.72,2.16,1.79
2020-09-30,5000.7,87.29,57.29,2.2,1.76
2020-08-31,4833.8,160.06,30.2,2.06,1.68
2020-07-31,4320.4,168.77,25.6,1.87,1.78
2020-06-30,4067.25,144.02,28.24,1.77,1.6
2020-05-29,3538.75,46.15,76.68,1.33,1.75
2020-04-30,3615.75,58.72,61.58,1.36,1.71
2020-03-31,3201.6,58.62,54.62,1.2,1.93
2020-02-28,4831.05,57.08,84.63,1.84,1.26
2020-01-31,5200.75,58.68,88.63,1.98,1.17
2019-12-31,4857.4,98.07,49.53,1.87,1.24
2019-11-29,4831.05,75.72,63.8,1.77,1.25
2019-10-31,4789.75,91.36,52.43,1.75,1.25
2019-09-30,4677.4,91.43,51.16,1.69,1.29
2019-08-30,4479.0,147.38,30.39,1.71,1.23
2019-07-31,4581.6,146.61,31.25,1.73,1.2
2019-06-28,5138.55,148.26,34.66,1.98,1.02
2019-05-31,5412.9,126.2,42.89,2.11,0.95
2019-04-30,5328.25,159.15,33.48,2.06,0.96
2019-03-29,5438.8,158.7,34.27,2.11,0.94
2019-02-28,4907.55,115.74,42.4,1.8,0.98
2019-01-31,5021.6,119.53,42.01,1.82,0.96
2018-12-31,5295.48,122.67,43.17,1.88,0.93
2018-11-30,5125.73,118.82,43.14,1.87,0.96
2018-10-31,5056.8,82.28,61.46,1.84,0.96
2018-09-28,5130.04,80.4,63.81,1.88,0.91
2018-08-24,6021.91,50.87,118.37,2.03,0.62
2018-07-31,5943.02,53.64,110.79,2.0,0.63
2018-06-29,5786.49,65.85,87.88,1.96,0.61
2018-05-31,6289.76,70.47,89.26,2.19,0.54
2018-04-30,6704.78,84.19,79.64,2.35,0.51
2018-03-28,6270.82,63.38,98.94,2.25,0.52
2018-02-28,6770.97,72.81,93.0,2.38,0.4
2018-01-31,7021.49,91.87,76.43,2.47,0.38
2017-12-29,7234.34,77.88,92.89,2.54,0.37
2017-11-30,6911.72,77.18,89.55,2.41,0.39
2017-10-31,6697.75,81.36,82.32,2.32,0.43
2017-09-29,6093.86,88.36,68.97,2.12,0.53
2017-08-31,6131.44,50.37,121.73,2.16,0.53
2017-07-31,6237.8,52.88,117.96,2.2,0.53
2017-06-30,5982.5,55.8,107.21,2.14,0.63
2017-05-31,5903.2,68.7,85.93,2.13,0.69
2017-04-28,5996.6,56.22,106.67,2.17,0.68
2017-03-31,5596.81,56.26,99.48,2.02,0.73
